Tier,School Name,Address,Board,Primary Email,All Emails,Email Count,Phone,Website,Status
Above 2 lakhs,Trivandrum International School,"Korani, Trivandrum","IB PYP, MYP & DP, IGCSE, ICSE",,,0,"Phone number:
+91 994 706 6646, +91 984 741 6464, +91 471 261 9231

Landline:
+91 471 261 9051",,MISSING EMAIL - needs lookup
Above 2 lakhs,Global Public School,"Thiruvaniyoor, Ernakulam","CBSE, IGCSE",mail@globalpublicschool.org,mail@globalpublicschool.org,1,"Phone number:
+91 484 271 3743, +91 484 271 3745

Landline:
+91 484 271 3746",globalpublicschool.org,Ready
Above 2 lakhs,Cochin International School,"Pukkattupady, Kochi","IB PYP (G1-G5), IGCSE, ICSE",admissions@cochins.org,admissions@cochins.org; mail@cochins.org,2,"Phone number:
+91 977 841 2991, +91 790 730 1566, +91 859 099 7711

Landline:
+91 859 099 7700",cochins.org,Ready
Above 2 lakhs,The Choice School,"Karingachira,Ambalamugal, Kochi","CBSE, IB DP",adminschool@choicegroup.in,adminschool@choicegroup.in,1,"Phone number:
+91 808 607 7800, +91 484 277 9057, +91

Landline:
+91 484 277 5692",kochi.choiceschool.com,Ready
Above 2 lakhs,Mar Athanasius International School,"Kothamangalam, Ernakulam","ICSE, IGCSE",principal@mainternationalschool.com,principal@mainternationalschool.com,1,"Phone number:
+91 949 618 7022, +91 944 700 5022","
mainternationalschool.com",Ready
Above 2 lakhs,The Charter School,"Pukkattupady, Ernakulam",CBSE,admissions@charterschool.in,admissions@charterschool.in,1,"Phone number:
+91 977 841 2992, +91 859 099 7711

Landline:
+91 484 268 5599",charterschool.in,Ready
Above 2 lakhs,The White School International,"Perumanna, Calicut",CBSE,info@twsinternational.in,info@twsinternational.in,1,"Phone number:
+91 952 607 7778","
thewhiteschool.in",Ready
Above 2 lakhs,Dawn International School,"Ambalamedu, Ernakulam","CBSE, IGCSE",dawninternationalschool@gmail.com,dawninternationalschool@gmail.com,1,"Phone number:
+91 944 757 7770, +91 954 457 7774, +91 944 757 7771

Landline:
+91 484 272 0101",dawninternationalkochi.com,Ready
Above 2 lakhs,Ebenezer International Residential School,"Kottayam, Kottayam",CBSE,info@ebenezerirs.org,info@ebenezerirs.org,1,"Phone number:
+91 481 253 7783, +91 481 253 7797, +91 481 253 8736

Landline:
+91 924 940 0147",ebenezerirs.org,Ready
Above 2 lakhs,The International School of Thrissur,"Kalathode, Trichur",IGCSE,info@tist.school,info@tist.school; admissions@tist.school,2,"Phone number:
+91 799 445 7022, +91 799 445 7025, +91 799 445 7021",tist.school,Ready
Above 2 lakhs,Peevees Public School,"Manalody, Nilambur",CBSE ,information@peevees.com,information@peevees.com,1,"Phone number:
+91 833 080 0951, +91 833 080 0951

Landline:
+91 493 122 0788",peeveespublicschool.org,Ready
Above 2 lakhs,Global Public School,"Thiruvankulam , Kochi",CBSE,mail@globalpublicschool.org,mail@globalpublicschool.org,1,"Phone number:
+91 484 271 3743, +91 484 271 3745, +91 484 271 3746",globalpublicschool.org,Ready
Above 2 lakhs,Delhi Public School Kollam,"Meyanoor, Kollam",CBSE,admin@dpskollam.com,admin@dpskollam.com; admission@dpskollam.com,2,"Phone number:
+91 755 884 3666

Landline:
+91 474 294 1700","
dpskollam.com",Ready
