School Name,Email,Status,Timestamp
Global Public School,mail@globalpublicschool.org,SENT,2026-07-14 11:49:08
Cochin International School,admissions@cochins.org,SENT,2026-07-14 11:50:27
The Choice School,adminschool@choicegroup.in,SENT,2026-07-14 11:51:45
Mar Athanasius International School,principal@mainternationalschool.com,SENT,2026-07-14 11:53:02
The Charter School,admissions@charterschool.in,FAILED: Server not connected,2026-07-14 17:43:09
The White School International,info@twsinternational.in,FAILED: please run connect() first,2026-07-14 17:43:10
Dawn International School,dawninternationalschool@gmail.com,FAILED: please run connect() first,2026-07-14 17:43:11
Ebenezer International Residential School,info@ebenezerirs.org,FAILED: please run connect() first,2026-07-14 17:43:12
The International School of Thrissur,info@tist.school,FAILED: please run connect() first,2026-07-14 17:43:13
Peevees Public School,information@peevees.com,FAILED: please run connect() first,2026-07-14 17:43:14
Global Public School,mail@globalpublicschool.org,FAILED: please run connect() first,2026-07-14 17:43:15
Delhi Public School Kollam,admin@dpskollam.com,FAILED: please run connect() first,2026-07-14 17:43:17
Sadhbhavana World School,admissions@sadhbhavanaschool.org,FAILED: please run connect() first,2026-07-14 17:43:18
The Village International School,admissions@villageschool.in,FAILED: please run connect() first,2026-07-14 17:43:19
Sree Chithira Thirunal Residential Central School,sctrcskkl@gmail.com,FAILED: please run connect() first,2026-07-14 17:43:20
Labour India Public School & Junior College,info@gurukulam.com,FAILED: please run connect() first,2026-07-14 17:43:21
Mar Thoma Residential School,mtrschool@gmail.com,FAILED: please run connect() first,2026-07-14 17:43:22
De Paul International Residential School,info@dpriskerala.com,FAILED: please run connect() first,2026-07-14 17:43:22
M.E.S. Raja Residential School,mesrajac@gmail.com,FAILED: please run connect() first,2026-07-14 17:43:23
MES International School,messchool@mespattambi.org,FAILED: please run connect() first,2026-07-14 17:43:24
"The Oxford School, Kollam",oxford@mhtrust.com,FAILED: please run connect() first,2026-07-14 17:43:24
Toc H Public school,tochschoolvyttila@gmail.com,FAILED: please run connect() first,2026-07-14 17:43:25
The Rajas International School,trischoolkottayam@gmail.com,FAILED: please run connect() first,2026-07-14 17:43:25
Marygiri CMI Public School,office@marygiri.org,FAILED: please run connect() first,2026-07-14 17:43:26
St. Marys Residential Central School,stmaryrcschool@gmail.com,SENT,2026-07-14 17:44:44
Stella Maris International Boarding School,stellamarisboardingschool@gmail.com,SENT,2026-07-14 17:46:02
Sainik School,sainikschooltvm@gmail.com,SENT,2026-07-14 17:47:20
Holy Grace Academy,info@holygraceacademy.com,SENT,2026-07-14 17:48:38
Dayapuram Residential School,info@dayapuram.org,SENT,2026-07-14 17:49:57
MAR THOMA CENTRAL SCHOOL,mtcstvla@gmail.com,SENT,2026-07-14 17:51:16
TOLINS WORLD SCHOOL,info@tolinsschool.org,SENT,2026-07-14 17:52:34
Alphonsa Residential School,alphresi@yahoo.co.in,SENT,2026-07-14 17:53:51
Prabhath Residential Public School,wccprabhath@gmail.com,SENT,2026-07-14 17:55:09
Citadel Residential School,citadelschool@gmail.com,SENT,2026-07-14 17:56:28
St. Thomas Residential School,strs@stthomastvm.edu.in,SENT,2026-07-14 17:57:45
Shalom Residential Public School,srpschittur@gmail.com,SENT,2026-07-14 17:59:03
Sabarigiri Residential School,sabarigiriresidentialschool@gmail.com,SENT,2026-07-14 18:00:21
Mount Seena Group of Institutions,mountseenagi@gmail.com,SENT,2026-07-14 18:01:39
Marygiri English Medium School,mgemsskpm@bsnl.in,SENT,2026-07-14 18:02:57
Sacred Heart Public School,info@shpublicschool.org,SENT,2026-07-14 18:04:15
Noble Public School,office@noblepublicschool.org,SENT,2026-07-14 18:05:34
"The Rajas International School, Kurichy, Kottayam",trischoolkottayam@gmail.com,SENT,2026-07-14 18:06:52
Navabharath Central School,nbcsvalakkandy@gmail.com,SENT,2026-07-14 18:08:11
